timestamp_utc,coin_id,price_usd,total_volume_usd,hourly_increase,price-soc correlation,price-pop
2025-05-24 21:00:00,stellar,0.28645283,262630581.7127645,-2.7954578e-05,0.0,0.0
2025-05-24 22:00:00,stellar,0.2862537,262630581.7127645,-0.00019913912,0.0,0.0
2025-05-24 23:00:00,stellar,0.2862537,262630581.7127645,0.0,0.0,0.0
2025-05-24 21:00:00,sui,3.6454358,1924179953.786625,-0.00036549568,0.0,0.99999794426211
2025-05-24 22:00:00,sui,3.6454358,1924179953.786625,0.0,0.0,0.99999794426211
2025-05-24 23:00:00,sui,3.6454358,1924179953.786625,0.0,0.0,0.99999794426211
2025-05-24 21:00:00,tether,1.0002112,42252987164.50531,0.0,0.0,0.0
2025-05-24 22:00:00,tether,1.0002112,42252987164.50531,0.0,0.0,0.0
2025-05-24 23:00:00,tether,1.0002112,42252987164.50531,0.0,0.0,0.0
2025-05-24 21:00:00,the-open-network,3.3776903,249884661.36098465,-4.220009e-05,0.0,0.0
2025-05-24 22:00:00,the-open-network,3.3776903,249884661.36098465,0.0,0.0,0.0
2025-05-24 23:00:00,the-open-network,3.3776903,249884661.36098465,0.0,0.0,0.0
2025-05-24 21:00:00,tron,0.26299715,1682678914.7692473,-4.4435263e-05,0.0,0.0
2025-05-24 22:00:00,tron,0.2629858,1682678914.7692473,-1.1354685e-05,0.0,0.0
2025-05-24 23:00:00,tron,0.2629858,1682678914.7692473,0.0,0.0,0.0
2025-05-24 21:00:00,usds,0.999864,18349580.477573056,3.9994717e-05,0.0,0.0
2025-05-24 22:00:00,usds,0.9998811,18349580.477573056,1.7106533e-05,0.0,0.0
2025-05-24 23:00:00,usds,0.9998876,18349580.477573056,6.4969063e-06,0.0,0.0
2025-05-24 21:00:00,weth,2786.1184,484733995.812282,-0.10131836,0.0,-0.8124915077413581
2025-05-24 22:00:00,weth,2784.5156,484733995.812282,-1.6027832,0.0,-0.8124915077413581
2025-05-24 23:00:00,weth,2782.7905,484733995.812282,-1.7250977,0.0,-0.8124915077413581
2025-05-24 21:00:00,whitebit,30.49525,27029539.337234408,-3.2424927e-05,0.0,0.0
2025-05-24 22:00:00,whitebit,30.46271,27029539.337234408,-0.032541275,0.0,0.0
2025-05-24 23:00:00,whitebit,30.416883,27029539.337234408,-0.04582596,0.0,0.0
2025-05-24 21:00:00,wrapped-eeth,2760.396,13150167.235450253,-0.00024414062,0.0,0.0
2025-05-24 22:00:00,wrapped-eeth,2745.3433,13150167.235450253,-15.052734,0.0,0.0
2025-05-24 23:00:00,wrapped-eeth,2722.0327,13150167.235450253,-23.310547,0.0,0.0
2025-05-24 21:00:00,wrapped-steth,2143.1167,14776965.874664094,0.0,0.0,0.0
2025-05-24 22:00:00,wrapped-steth,2143.1167,14776965.874664094,0.0,0.0,0.0
2025-05-24 23:00:00,wrapped-steth,2143.1167,14776965.874664094,0.0,0.0,0.0
